request#,latency_ms,success
883,5.23,yes
884,4.50,yes
885,4.48,yes
886,4.63,yes
887,4.98,yes
888,4.54,yes
889,4.50,yes
890,4.56,yes
891,5.70,yes
892,4.52,yes
893,4.60,yes
894,3.90,yes
895,4.53,yes
896,4.57,yes
897,4.60,yes
898,4.27,yes
899,4.49,yes
900,4.54,yes
901,5.59,yes
902,4.50,yes
903,4.41,yes
904,4.40,yes
905,3.13,yes
906,4.63,yes
907,4.96,yes
908,4.91,yes
909,4.69,yes
910,4.57,yes
911,4.50,yes
912,4.63,yes
913,4.75,yes
914,6.54,yes
915,4.65,yes
916,4.62,yes
917,5.76,yes
918,4.55,yes
919,4.59,yes
920,4.69,yes
921,4.68,yes
922,4.55,yes
923,4.60,yes
924,4.56,yes
925,4.92,yes
926,4.59,yes
927,4.51,yes
928,4.62,yes
929,4.59,yes
930,4.77,yes
931,4.55,yes
932,4.61,yes
933,4.62,yes
934,4.72,yes
935,4.60,yes
936,4.54,yes
937,4.57,yes
938,4.64,yes
939,4.61,yes
940,4.59,yes
941,4.52,yes
942,4.59,yes
943,4.65,yes
944,4.84,yes
945,4.59,yes
946,4.88,yes
947,4.63,yes
948,4.65,yes
949,4.92,yes
950,4.63,yes
951,4.57,yes
952,5.16,yes
953,4.60,yes
954,4.58,yes
955,4.86,yes
956,4.56,yes
957,4.85,yes
958,4.71,yes
959,4.60,yes
960,4.68,yes
961,4.59,yes
962,5.00,yes
963,4.57,yes
964,4.65,yes
965,4.50,yes
966,4.62,yes
967,4.54,yes
968,4.56,yes
969,4.55,yes
970,4.88,yes
971,4.61,yes
972,4.56,yes
973,4.59,yes
974,5.01,yes
975,4.54,yes
976,4.58,yes
977,4.68,yes
978,4.95,yes
979,4.46,yes
980,4.60,yes
981,4.54,yes
982,4.80,yes
983,4.51,yes
984,4.87,yes
985,4.83,yes
986,4.96,yes
987,4.56,yes
988,4.61,yes
989,4.59,yes
990,4.63,yes
991,5.73,yes
992,4.95,yes
993,4.46,yes
994,4.91,yes
995,4.61,yes
996,4.54,yes
997,4.83,yes
998,4.58,yes
999,4.51,yes
1000,4.61,yes
1001,4.89,yes
1002,4.82,yes
1003,4.54,yes
1004,4.69,yes
1005,4.63,yes
1006,4.62,yes
1007,4.82,yes
1008,5.62,yes
1009,4.82,yes
1010,4.82,yes
1011,4.56,yes
1012,4.59,yes
1013,4.61,yes
1014,4.45,yes
1015,4.62,yes
1016,4.65,yes
1017,4.63,yes
1018,4.52,yes
1019,4.58,yes
1020,4.54,yes
1021,6.22,yes
1022,4.58,yes
1023,4.47,yes
1024,4.54,yes
1025,5.16,yes
1026,4.66,yes
1027,5.29,yes
1028,4.54,yes
1029,4.52,yes
1030,4.53,yes
1031,4.55,yes
1032,5.11,yes
1033,4.52,yes
1034,4.63,yes
1035,4.66,yes
1036,4.58,yes
1037,4.47,yes
1038,4.55,yes
1039,4.50,yes
1040,4.57,yes
1041,4.63,yes
1042,4.58,yes
1043,4.84,yes
1044,4.66,yes
1045,4.45,yes
1046,4.46,yes
1047,4.48,yes
1048,5.27,yes
1049,4.56,yes
1050,4.42,yes
1051,4.47,yes
1052,4.48,yes
1053,5.01,yes
1054,4.58,yes
1055,4.56,yes
1056,4.43,yes
1057,4.51,yes
1058,4.93,yes
1059,4.44,yes
1060,4.45,yes
1061,4.47,yes
1062,4.44,yes
1063,4.46,yes
1064,4.44,yes
1065,4.57,yes
1066,4.52,yes
1067,4.51,yes
1068,4.44,yes
1069,4.42,yes
1070,4.49,yes
1071,4.53,yes
1072,4.57,yes
1073,4.50,yes
1074,3.26,yes
1075,4.71,yes
1076,4.47,yes
1077,4.45,yes
1078,4.65,yes
1079,4.48,yes
1080,5.41,yes
1081,4.50,yes
1082,4.64,yes
1083,4.56,yes
1084,4.70,yes
1085,4.45,yes
1086,4.61,yes
1087,4.50,yes
1088,4.63,yes
1089,4.38,yes
1090,4.48,yes
1091,4.44,yes
1092,4.55,yes
1093,4.89,yes
1094,5.32,yes
1095,4.96,yes
1096,4.55,yes
1097,4.52,yes
1098,4.52,yes
1099,4.73,yes
1100,4.60,yes
1101,4.36,yes
1102,4.57,yes
1103,4.69,yes
1104,4.80,yes
1105,4.74,yes
1106,5.02,yes
1107,4.72,yes
1108,4.63,yes
1109,4.50,yes
1110,4.46,yes
1111,4.60,yes
1112,4.44,yes
1113,5.13,yes
1114,4.83,yes
1115,4.56,yes
1116,4.49,yes
1117,4.49,yes
1118,5.04,yes
1119,4.53,yes
1120,4.56,yes
1121,4.57,yes
1122,4.64,yes
1123,4.50,yes
1124,4.77,yes
1125,4.50,yes
1126,4.56,yes
1127,4.47,yes
1128,4.48,yes
1129,4.46,yes
1130,4.51,yes
1131,4.48,yes
1132,4.98,yes
1133,4.88,yes
1134,4.74,yes
1135,4.44,yes
1136,4.59,yes
1137,4.43,yes
1138,4.60,yes
