index,latency_ms
639,4.620000
640,4.580000
641,4.990000
642,4.540000
643,4.810000
644,5.700000
645,4.570000
646,4.470000
647,4.640000
648,4.820000
649,4.890000
650,4.440000
651,4.590000
652,4.800000
653,4.820000
654,4.530000
655,4.930000
656,4.600000
657,4.450000
658,5.050000
659,4.540000
660,4.560000
661,4.660000
662,4.510000
663,4.540000
664,4.590000
665,5.300000
666,4.630000
667,4.550000
668,4.650000
669,4.520000
670,4.660000
671,3.930000
672,4.540000
673,4.450000
674,4.590000
675,4.590000
676,4.590000
677,4.520000
678,4.550000
679,4.610000
680,4.730000
681,4.940000
682,4.420000
683,4.620000
684,4.530000
685,4.480000
686,4.510000
687,4.610000
688,4.570000
689,4.860000
690,4.890000
691,5.110000
692,4.430000
693,4.560000
694,4.600000
695,4.640000
696,4.490000
697,4.560000
698,4.630000
699,4.560000
700,4.440000
701,4.820000
702,4.520000
703,4.640000
704,4.590000
705,4.550000
706,4.540000
707,4.620000
708,4.960000
709,5.020000
710,4.620000
711,4.800000
712,5.200000
713,4.630000
714,4.570000
715,4.510000
716,4.820000
717,4.500000
718,4.610000
719,4.630000
720,4.650000
721,4.550000
722,4.590000
723,4.710000
724,4.690000
725,4.710000
726,4.620000
727,5.260000
728,4.820000
729,4.580000
730,4.640000
731,4.640000
732,4.750000
733,4.580000
734,4.470000
735,4.530000
736,4.560000
737,4.560000
738,4.510000
739,4.560000
740,5.490000
741,4.610000
742,4.560000
743,4.590000
744,4.550000
745,4.550000
746,4.460000
747,4.680000
748,5.250000
749,4.540000
750,4.500000
751,4.490000
752,4.760000
753,4.580000
754,4.750000
755,5.110000
756,4.720000
757,4.920000
758,4.550000
759,4.490000
760,4.660000
761,4.520000
762,4.550000
763,4.610000
764,4.420000
765,4.580000
766,4.490000
767,4.780000
768,4.530000
769,4.620000
770,4.590000
771,4.550000
772,4.930000
773,4.510000
774,4.450000
775,4.990000
776,4.530000
777,4.750000
778,4.640000
779,4.580000
780,4.550000
781,5.260000
782,4.650000
783,4.510000
784,3.110000
785,4.590000
786,4.710000
787,4.740000
788,4.910000
789,4.560000
790,4.610000
791,4.450000
792,4.610000
793,4.550000
794,4.590000
795,4.610000
796,4.560000
797,3.440000
798,4.580000
799,4.680000
800,4.680000
801,4.960000
802,4.590000
803,4.560000
804,5.180000
805,4.550000
806,4.620000
807,4.580000
808,4.820000
809,4.470000
810,4.660000
811,4.500000
812,4.710000
813,4.720000
814,4.650000
815,5.250000
816,4.550000
817,4.600000
818,4.700000
819,4.550000
820,4.440000
821,4.680000
822,4.590000
823,4.740000
824,4.700000
825,4.570000
826,4.530000
827,4.590000
828,4.890000
829,4.540000
830,4.790000
831,4.540000
832,4.520000
833,4.720000
834,4.410000
835,4.240000
836,4.690000
837,4.590000
838,4.820000
839,4.890000
840,4.960000
841,4.590000
842,4.560000
843,4.600000
844,5.850000
845,4.590000
846,4.620000
847,4.620000
848,4.760000
849,4.850000
850,4.560000
851,5.480000
852,4.570000
853,4.490000
854,4.520000
855,4.470000
856,4.540000
857,4.570000
858,4.520000
859,4.500000
860,5.240000
861,4.380000
862,5.530000
863,4.610000
864,4.580000
865,4.920000
866,4.720000
867,4.560000
868,4.580000
869,4.530000
870,4.550000
871,4.640000
872,7.240000
873,4.770000
874,4.510000
875,4.460000
876,4.530000
877,4.560000
878,4.480000
879,4.520000
880,4.620000
881,6.130000
882,4.490000
883,5.230000
884,4.500000
885,4.480000
886,4.630000
887,4.980000
888,4.540000
889,4.500000
890,4.560000
891,5.700000
892,4.520000
893,4.600000
894,3.900000
895,4.530000
896,4.570000
897,4.600000
898,4.270000
899,4.490000
900,4.540000
901,5.590000
902,4.500000
903,4.410000
904,4.400000
905,3.130000
906,4.630000
907,4.960000
908,4.910000
909,4.690000
910,4.570000
911,4.500000
912,4.630000
913,4.750000
914,6.540000
915,4.650000
916,4.620000
917,5.760000
918,4.550000
919,4.590000
920,4.690000
921,4.680000
922,4.550000
923,4.600000
924,4.560000
925,4.920000
926,4.590000
927,4.510000
928,4.620000
929,4.590000
930,4.770000
931,4.550000
